brand,category,age,condition,usage_hours,original_price,resale_price
N/A,Books,6,New,8760,15999,1599
Generic,Other,1,Good,1460,3372,1335
Barbie,Kids,4,Good,5840,18343,1834
Lego,Kids,2,Good,2920,1026,265
Sony,Electronics,5,Fair,7300,187275,32007
Nothing,Mobiles,3,Like New,4380,98998,37261
Redmi,Mobiles,5,Poor,7300,34504,3450
N/A,Houses & Apartments,3,Fair,4380,10702,1106
N/A,Houses & Apartments,5,Fair,7300,15242,1524
Yamaha,Bikes,4,Good,5840,294862,112606
Decathlon,Sports,10,Like New,14600,5047,504
Nike,Fashion,2,Good,2920,5128,1252
Decathlon,Sports,7,Poor,10220,13361,1336
HotWheels,Kids,3,Poor,4380,13066,1306
Zara,Fashion,9,Good,13140,8014,801
FisherPrice,Kids,0,Good,0,14898,9553
HotWheels,Kids,5,Good,7300,12262,1226
Wilson,Sports,3,Fair,4380,6521,715
Redmi,Mobiles,7,Like New,10220,73666,8286
Generic,Other,7,Fair,10220,11974,1197
Local,Furniture,6,Fair,8760,41336,4133
Xiaomi,Mobiles,9,Good,13140,74924,7492
Apple,Electronics,6,Good,8760,188411,37160
Bajaj,Bikes,8,Good,11680,231894,41069
Apple,Electronics,5,Like New,7300,92563,26952
Bajaj,Bikes,8,Like New,11680,133318,32278
N/A,Books,1,Good,1460,6825,2844
Acer,Electronics,6,Like New,8760,143456,29854
Yonex,Sports,4,Good,5840,17632,1763
Google,Mobiles,0,Fair,0,14107,7014
Xiaomi,Mobiles,10,New,14600,86143,8614
Apple,Electronics,10,Good,14600,131346,13134
Yonex,Sports,4,Fair,5840,10240,1024
Generic,Other,1,Good,1460,8221,3256
Mahindra,Cars,8,Good,11680,715298,146683
N/A,Houses & Apartments,6,Like New,8760,13865,1386
Barbie,Kids,9,Good,13140,13931,1393
N/A,Books,6,Poor,8760,6574,657
FisherPrice,Kids,1,Good,1460,14768,5669
Honda,Cars,4,Like New,5840,1097971,460735
Puma,Fashion,10,Good,14600,12529,1252
Bajaj,Bikes,4,Like New,5840,203653,87249
H&M,Fashion,1,Good,1460,3434,1526
N/A,Houses & Apartments,10,New,14600,1448,144
N/A,Houses & Apartments,10,Poor,14600,9086,908
IKEA,Furniture,7,Good,10220,36534,3653
Godrej,Furniture,1,New,1460,31102,20904
Honda,Cars,8,Fair,11680,1182242,156505
Sony,Electronics,0,Fair,0,136178,65013
N/A,Services,4,New,5840,8348,1063
IKEA,Furniture,8,Good,11680,23340,2334
N/A,Services,10,Fair,14600,13731,1373
N/A,Books,4,Fair,5840,12338,1233
Barbie,Kids,9,Good,13140,17865,1786
Hero,Bikes,3,Fair,4380,236395,71646
Honda,Bikes,6,Poor,8760,218613,24035
Nivia,Sports,2,Like New,2920,12970,4186
N/A,Houses & Apartments,1,New,1460,13934,8029
Tata,Cars,8,Good,11680,1787053,317833
Levis,Fashion,2,Good,2920,3508,850
Yamaha,Bikes,1,Poor,1460,292095,70123
Adidas,Fashion,3,Like New,4380,12318,2452
N/A,Services,4,Good,5840,5326,532
N/A,Houses & Apartments,9,Like New,13140,18075,1807
Wilson,Sports,1,New,1460,4522,2660
Barbie,Kids,6,Like New,8760,8826,882
Hyundai,Cars,9,Good,13140,1382465,215373
Yonex,Sports,9,Good,13140,6533,653
Redmi,Mobiles,3,Like New,4380,28959,9424
OnePlus,Mobiles,7,Good,10220,99131,10119
Puma,Fashion,5,Good,7300,9334,933
TVs,Bikes,0,Good,0,114386,82860
N/A,Services,3,Good,4380,6249,938
Acer,Electronics,0,Like New,0,184398,166161
Godrej,Furniture,0,Like New,0,17717,14845
HotWheels,Kids,1,Fair,1460,12123,3688
Apple,Mobiles,10,Like New,14600,95648,9564
Levis,Fashion,2,Good,2920,3428,824
Nilkamal,Furniture,10,Good,14600,46723,4672
Nike,Fashion,9,Good,13140,18354,1835
Google,Mobiles,6,Like New,8760,20651,3068
N/A,Houses & Apartments,9,Fair,13140,13291,1329
Acer,Electronics,6,Fair,8760,153209,21563
Barbie,Kids,4,Fair,5840,8008,800
Vivo,Mobiles,6,Good,8760,20428,2549
Xiaomi,Mobiles,1,Good,1460,50543,28823
Toyota,Cars,0,Like New,0,889172,827998
N/A,Services,3,Good,4380,15769,2155
LG,Electronics,9,Good,13140,187314,18731
Hyundai,Cars,7,New,10220,1007827,287771
Acer,Electronics,0,Poor,0,28310,8908
N/A,Services,4,Like New,5840,13516,1413
Local,Furniture,0,Good,0,13379,9384
Nivia,Sports,6,Poor,8760,2315,231
N/A,Houses & Apartments,5,Poor,7300,10172,1017
Generic,Other,10,Fair,14600,19530,1953
N/A,Houses & Apartments,3,Like New,4380,14380,2770
Hyundai,Cars,10,Good,14600,953768,129366
N/A,Houses & Apartments,9,Good,13140,3304,330
Nilkamal,Furniture,0,Good,0,37606,24190
Hero,Bikes,7,Poor,10220,101450,10145
Zara,Fashion,8,Like New,11680,6133,613
Nilkamal,Furniture,7,Good,10220,10185,1018
Godrej,Furniture,2,New,2920,37623,19086
N/A,Services,8,Good,11680,1659,165
N/A,Houses & Apartments,7,Good,10220,16287,1628
Apple,Mobiles,7,Like New,10220,148707,18259
Puma,Fashion,4,Like New,5840,7540,824
Generic,Other,2,Fair,2920,5031,912
N/A,Services,1,Poor,1460,3818,620
Kia,Cars,2,Like New,2920,1577207,894506
Oppo,Mobiles,4,Good,5840,111483,23027
Redmi,Mobiles,5,Good,7300,64289,9693
Godrej,Furniture,2,Like New,2920,16570,6877
LG,Electronics,5,Good,7300,112217,26933
Lenovo,Electronics,7,Good,10220,165423,24645
N/A,Services,10,Fair,14600,14904,1490
Decathlon,Sports,1,Fair,1460,10144,2914
Generic,Other,8,Good,11680,13393,1339
Wilson,Sports,9,Good,13140,3914,391
Xiaomi,Mobiles,1,Good,1460,49544,27449
Lego,Kids,0,New,0,9504,8986
Generic,Other,8,Good,11680,6021,602
Generic,Other,8,Good,11680,6153,615
N/A,Houses & Apartments,10,Good,14600,4527,452
N/A,Books,7,Good,10220,2448,244
N/A,Houses & Apartments,2,Fair,2920,15803,2937
Zara,Fashion,2,Good,2920,13015,3280
Tata,Cars,6,New,8760,1210590,416951
Urban Ladder,Furniture,10,Poor,14600,14828,1482
Local,Furniture,10,Fair,14600,29870,2987
Mahindra,Cars,10,Like New,14600,958325,153435
Generic,Other,4,New,5840,15262,1791
N/A,Houses & Apartments,0,Good,0,16943,12395
Oppo,Mobiles,6,New,8760,67763,10470
Yamaha,Bikes,0,Like New,0,190939,163864
N/A,Services,7,Poor,10220,4449,444
N/A,Books,8,Good,11680,3571,357
N/A,Houses & Apartments,2,Good,2920,1578,434
OnePlus,Mobiles,2,Fair,2920,75400,19698
HotWheels,Kids,7,Fair,10220,10313,1031
Lego,Kids,1,Fair,1460,2992,885
Generic,Other,6,Fair,8760,5039,503
HotWheels,Kids,4,Good,5840,3343,334
Tata,Cars,7,Like New,10220,1549897,435589
Barbie,Kids,6,New,8760,13678,1367
Royal Enfield,Bikes,2,Good,2920,83902,45878
FisherPrice,Kids,0,Good,0,12816,8208
Bajaj,Bikes,7,Good,10220,161466,38849
Samsung,Electronics,5,Fair,7300,182533,27754
Honda,Bikes,1,Poor,1460,172325,48245
N/A,Houses & Apartments,7,New,10220,8095,809
IKEA,Furniture,1,New,1460,14232,10214
Honda,Cars,10,Good,14600,421444,59695
Decathlon,Sports,0,Fair,0,7350,3908
Generic,Other,3,Good,4380,11106,1670
N/A,Books,3,Fair,4380,7284,737
Generic,Other,9,Good,13140,1517,151
Adidas,Fashion,2,Good,2920,16575,3820
FisherPrice,Kids,4,Poor,5840,17687,1768
Wilson,Sports,5,Good,7300,11899,1189
Wilson,Sports,9,Good,13140,2036,203
Royal Enfield,Bikes,0,Good,0,282652,180210
Royal Enfield,Bikes,4,Good,5840,171914,67756
Barbie,Kids,8,Good,11680,11842,1184
Sony,Electronics,8,Fair,11680,103307,10330
Tata,Cars,5,Good,7300,548057,174663
TVs,Bikes,2,Like New,2920,94471,54608
N/A,Books,2,Like New,2920,7559,2418
Generic,Other,0,Good,0,16333,10614
N/A,Houses & Apartments,5,Like New,7300,9628,962
Generic,Other,1,Good,1460,11107,5032
N/A,Houses & Apartments,10,Good,14600,12923,1292
Nike,Fashion,3,Good,4380,12350,1844
H&M,Fashion,8,Good,11680,14307,1430
Puma,Fashion,2,Good,2920,11178,2567
N/A,Books,5,Like New,7300,14121,1412
Generic,Other,5,Poor,7300,4086,408
HotWheels,Kids,7,Poor,10220,2111,211
Yamaha,Bikes,8,Good,11680,174438,30626
Yonex,Sports,6,Poor,8760,17612,1761
Tata,Cars,5,Fair,7300,1416729,289466
N/A,Services,6,Fair,8760,8987,898
Levis,Fashion,7,Fair,10220,18275,1827
Godrej,Furniture,4,Poor,5840,16738,1673
Vivo,Mobiles,10,Good,14600,76985,7698
Tata,Cars,8,Good,11680,1837762,373202
Royal Enfield,Bikes,3,Poor,4380,88359,14785
Apple,Electronics,9,Fair,13140,95945,9594
N/A,Services,6,New,8760,13796,1379
Lego,Kids,8,Like New,11680,4390,439
HP,Electronics,0,Like New,0,165405,149448
Decathlon,Sports,10,Good,14600,18665,1866
HotWheels,Kids,7,Like New,10220,1844,184
H&M,Fashion,9,Like New,13140,9011,901
Godrej,Furniture,0,Fair,0,22052,11521
Redmi,Mobiles,5,Fair,7300,39316,4277
Barbie,Kids,10,Fair,14600,18054,1805
Decathlon,Sports,9,New,13140,15053,1505
Samsung,Electronics,7,Like New,10220,80256,14128
Lego,Kids,2,New,2920,15485,5052
HotWheels,Kids,2,Good,2920,15838,4078
Godrej,Furniture,6,Good,8760,44356,4435
Adidas,Fashion,2,Good,2920,7049,1675
Royal Enfield,Bikes,9,Fair,13140,205520,22934
Nothing,Mobiles,0,Good,0,95362,66393
Maruti,Cars,8,Poor,11680,1016300,101630
H&M,Fashion,3,Good,4380,5441,826
H&M,Fashion,2,Fair,2920,13571,2293
N/A,Houses & Apartments,4,Like New,5840,4527,466
Oppo,Mobiles,8,Like New,11680,137022,13702
Maruti,Cars,3,New,4380,557427,322960
N/A,Services,3,Good,4380,18691,2661
Toyota,Cars,0,Poor,0,1891024,546007
Asus,Electronics,2,Fair,2920,20867,6997
Honda,Bikes,2,Fair,2920,211705,78883
Generic,Other,5,Poor,7300,2594,259
H&M,Fashion,8,Good,11680,2576,257
FisherPrice,Kids,10,Poor,14600,5621,562
Generic,Other,4,Like New,5840,8057,934
HotWheels,Kids,6,Good,8760,16143,1614
HP,Electronics,3,Poor,4380,75502,11594
Apple,Mobiles,10,New,14600,57452,5745
Lego,Kids,3,Like New,4380,19488,3816
Wilson,Sports,7,Like New,10220,4421,442
Realme,Mobiles,8,Fair,11680,124278,12427
Yamaha,Bikes,4,Like New,5840,90947,36402
HotWheels,Kids,5,Good,7300,16838,1683
Mahindra,Cars,4,Good,5840,1059945,403451
Wilson,Sports,9,Poor,13140,2406,240
N/A,Books,9,Good,13140,13732,1373
Generic,Other,6,Good,8760,18583,1858
N/A,Services,5,Like New,7300,7810,781
Toyota,Cars,10,Like New,14600,1042036,184312
N/A,Services,2,Like New,2920,7932,2611
Acer,Electronics,2,Good,2920,97895,46745
Urban Ladder,Furniture,9,New,13140,39515,3951
Godrej,Furniture,3,Fair,4380,10785,1775
N/A,Services,10,Good,14600,10028,1002
IKEA,Furniture,4,Good,5840,12233,2051
N/A,Services,3,Poor,4380,1464,146
Lego,Kids,10,Fair,14600,14491,1449
N/A,Houses & Apartments,6,Fair,8760,8759,875
Generic,Other,7,Fair,10220,5347,534
Generic,Other,0,Good,0,9435,7182
Generic,Other,5,Good,7300,2015,201
Samsung,Mobiles,9,Good,13140,114226,11422
Godrej,Furniture,6,Good,8760,48376,4837
Nilkamal,Furniture,8,Poor,11680,10547,1054
Adidas,Fashion,9,Good,13140,7238,723
H&M,Fashion,2,Fair,2920,16527,2844
Generic,Other,7,New,10220,3572,357
Apple,Electronics,4,Like New,5840,125442,44666
Dell,Electronics,1,Like New,1460,171289,123091
N/A,Books,2,Good,2920,10244,2487
Acer,Electronics,9,Good,13140,83727,8372
N/A,Houses & Apartments,8,Fair,11680,14388,1438
N/A,Houses & Apartments,3,Like New,4380,4746,868
Sony,Electronics,10,Poor,14600,165558,16555
FisherPrice,Kids,3,Fair,4380,4642,486
Puma,Fashion,0,Fair,0,15914,8140
N/A,Books,8,Good,11680,15348,1534
N/A,Houses & Apartments,6,Like New,8760,9610,961
Royal Enfield,Bikes,10,Fair,14600,93840,9480
Mahindra,Cars,0,Good,0,1710505,1245899
Maruti,Cars,5,Like New,7300,1107271,406053
Toyota,Cars,2,Fair,2920,977087,323936
HP,Electronics,0,Fair,0,73732,34436
Google,Mobiles,5,Good,7300,90142,13680
Barbie,Kids,1,Good,1460,4744,1895
Lego,Kids,8,Good,11680,19737,1973
Wilson,Sports,8,Like New,11680,7541,754
Zara,Fashion,1,Fair,1460,11777,3545
Lego,Kids,6,Good,8760,1334,133
N/A,Books,2,Fair,2920,12932,2496
Godrej,Furniture,6,Good,8760,48844,4884
Generic,Other,8,Fair,11680,14230,1423
Lego,Kids,8,Good,11680,2751,275
Honda,Cars,4,Fair,5840,1950111,516996
N/A,Houses & Apartments,3,Like New,4380,8339,1642
Samsung,Electronics,7,Good,10220,144410,19970
Mahindra,Cars,3,Fair,4380,372694,119721
Wilson,Sports,8,Fair,11680,3915,391
N/A,Houses & Apartments,7,Like New,10220,2918,291
Nike,Fashion,1,Good,1460,4117,1852
Toyota,Cars,1,Good,1460,1166885,728639
Royal Enfield,Bikes,1,Like New,1460,205101,152005
Vivo,Mobiles,4,Good,5840,64851,15128
Zara,Fashion,8,Good,11680,11867,1186
N/A,Houses & Apartments,4,Like New,5840,3145,347
N/A,Books,9,Fair,13140,9417,941
Generic,Other,5,Good,7300,1380,138
Barbie,Kids,6,Poor,8760,10650,1065
Hyundai,Cars,8,Good,11680,1385394,249194
N/A,Services,7,Fair,10220,6640,664
Honda,Cars,9,Good,13140,1528459,232770
Yamaha,Bikes,4,Good,5840,69742,26535
N/A,Books,0,Fair,0,3145,1445
Barbie,Kids,10,Fair,14600,15109,1510
Barbie,Kids,1,Like New,1460,18401,8644
Puma,Fashion,9,Poor,13140,16034,1603
Wilson,Sports,3,Good,4380,17229,2604
N/A,Houses & Apartments,0,Fair,0,8487,4413
Hero,Bikes,3,Fair,4380,214426,69473
Generic,Other,5,Fair,7300,5875,587
Nivia,Sports,7,Like New,10220,16004,1600
Samsung,Electronics,2,Good,2920,163775,67814
Tata,Cars,0,Fair,0,1614159,762520
H&M,Fashion,3,Fair,4380,15837,1795
Godrej,Furniture,5,Good,7300,20887,2663
HotWheels,Kids,3,Good,4380,7657,1255
N/A,Books,7,Fair,10220,8014,801
Barbie,Kids,1,Good,1460,7440,3265
Zara,Fashion,5,Fair,7300,11507,1150
Hero,Bikes,10,Fair,14600,227116,24406
Mahindra,Cars,10,New,14600,568142,113293
Royal Enfield,Bikes,8,Fair,11680,162373,22554
Apple,Electronics,8,Fair,11680,96907,9690
Hero,Bikes,2,Poor,2920,56475,12452
Samsung,Mobiles,5,Fair,7300,33125,3544
Lego,Kids,6,Fair,8760,18098,1809
Asus,Electronics,6,Like New,8760,87281,18815
N/A,Services,6,Like New,8760,18574,1857
Decathlon,Sports,10,Poor,14600,2876,287
N/A,Services,5,Good,7300,6891,689
Lego,Kids,5,Like New,7300,7640,764
Google,Mobiles,7,Good,10220,124827,12482
N/A,Services,0,Fair,0,3598,1950
Generic,Other,6,Like New,8760,15710,1571
Generic,Other,9,Poor,13140,3508,350
Generic,Other,10,Like New,14600,5781,578
N/A,Books,9,Good,13140,15034,1503
Honda,Bikes,5,Good,7300,182664,54776
N/A,Books,3,Poor,4380,19287,1928
Yamaha,Bikes,4,Good,5840,109784,37228
Honda,Bikes,2,Poor,2920,228451,47318
N/A,Houses & Apartments,5,New,7300,6292,629
N/A,Books,6,Good,8760,9005,900
N/A,Houses & Apartments,6,Good,8760,10185,1018
N/A,Books,3,Good,4380,6704,1106
Decathlon,Sports,6,Fair,8760,14922,1492
H&M,Fashion,0,Poor,0,7383,2149
Nothing,Mobiles,4,Fair,5840,34557,5358
Tata,Cars,4,Good,5840,322514,112245
Yonex,Sports,6,Good,8760,2724,272
Wilson,Sports,6,Good,8760,16880,1688
N/A,Houses & Apartments,8,New,11680,16990,1699
N/A,Services,4,New,5840,8055,1077
Levis,Fashion,1,Poor,1460,1761,311
FisherPrice,Kids,6,Like New,8760,17629,1762
Mahindra,Cars,3,Good,4380,818293,324733
N/A,Houses & Apartments,4,Fair,5840,10095,1009
Yamaha,Bikes,1,Poor,1460,142201,32729
Nilkamal,Furniture,4,Fair,5840,49148,5477
N/A,Houses & Apartments,8,Fair,11680,14231,1423
N/A,Houses & Apartments,1,Like New,1460,18837,9318
Godrej,Furniture,4,Fair,5840,41551,4886
N/A,Houses & Apartments,7,Fair,10220,8883,888
Levis,Fashion,7,Good,10220,19525,1952
N/A,Services,8,Good,11680,12993,1299
Barbie,Kids,2,New,2920,5460,1959
N/A,Books,10,New,14600,18958,1895
HotWheels,Kids,8,Like New,11680,1221,122
N/A,Books,2,New,2920,9724,3051
Lenovo,Electronics,9,Fair,13140,23817,2381
Generic,Other,1,Good,1460,14734,6344
Royal Enfield,Bikes,7,Good,10220,140400,34412
N/A,Services,0,Good,0,17640,11302
N/A,Services,3,Good,4380,7444,1165
Yonex,Sports,10,Fair,14600,10620,1062
Lenovo,Electronics,9,Like New,13140,199538,22241
HotWheels,Kids,6,Fair,8760,3489,348
N/A,Services,1,Like New,1460,17968,9825
Tata,Cars,3,New,4380,1727117,1012029
Sony,Electronics,4,Good,5840,40830,11268
Nivia,Sports,0,New,0,1850,1600
Realme,Mobiles,8,Good,11680,14123,1412
Maruti,Cars,1,Like New,1460,1415886,1023856
Wilson,Sports,1,Like New,1460,19586,10126
Generic,Other,0,Good,0,18304,11999
Apple,Electronics,2,Good,2920,170561,73992
Hero,Bikes,3,New,4380,287755,154412
Nivia,Sports,7,Fair,10220,8844,884
LG,Electronics,8,Poor,11680,150966,15096
TVs,Bikes,1,New,1460,155310,117132
Puma,Fashion,4,Fair,5840,9646,964
Barbie,Kids,5,Good,7300,18764,1876
HotWheels,Kids,5,Good,7300,12652,1265
Lenovo,Electronics,7,Good,10220,142575,21131
Tata,Cars,3,Poor,4380,325336,57893
Vivo,Mobiles,5,Like New,7300,142604,30516
Urban Ladder,Furniture,6,Good,8760,11887,1188
Lego,Kids,2,Good,2920,17867,4294
Urban Ladder,Furniture,9,Like New,13140,22503,2250
Local,Furniture,10,Fair,14600,13384,1338
Tata,Cars,1,Like New,1460,561228,413369
N/A,Houses & Apartments,9,Good,13140,7278,727
Yamaha,Bikes,9,Fair,13140,299614,36746
LG,Electronics,8,Good,11680,56741,6371
Royal Enfield,Bikes,1,Poor,1460,147318,35246
Tata,Cars,4,Good,5840,741892,247020
Honda,Bikes,6,Good,8760,154699,36956
N/A,Services,2,New,2920,5731,1984
Vivo,Mobiles,0,Fair,0,59191,28627
Wilson,Sports,9,Fair,13140,9278,927
Dell,Electronics,7,Fair,10220,169395,18780
Generic,Other,0,Like New,0,3741,3220
Wilson,Sports,2,Good,2920,15914,3894
N/A,Services,8,Fair,11680,16019,1601
Google,Mobiles,2,Poor,2920,25980,4044
N/A,Books,4,Fair,5840,13521,1352
N/A,Services,2,Good,2920,10834,2859
Acer,Electronics,10,Good,14600,110655,11065
N/A,Houses & Apartments,4,New,5840,9048,1008
OnePlus,Mobiles,8,Good,11680,99444,9944
N/A,Houses & Apartments,2,New,2920,2138,714
N/A,Books,5,Good,7300,7395,739
Kia,Cars,8,Good,11680,1468229,297109
Barbie,Kids,2,Good,2920,16049,3910
Generic,Other,0,Good,0,12309,9189
Generic,Other,0,Good,0,16946,12136
Apple,Mobiles,7,Good,10220,58320,5832
Oppo,Mobiles,7,Good,10220,87097,8709
N/A,Books,3,Poor,4380,1165,116
N/A,Houses & Apartments,8,Like New,11680,10187,1018
Hero,Bikes,6,Good,8760,236658,65134
Generic,Other,5,Good,7300,18331,1833
Generic,Other,10,New,14600,19910,1991
Nilkamal,Furniture,0,Good,0,42011,27707
N/A,Books,3,New,4380,11572,2244
Urban Ladder,Furniture,6,Good,8760,41474,4147
TVs,Bikes,2,Fair,2920,128967,46843
HotWheels,Kids,8,Poor,11680,11636,1163
Royal Enfield,Bikes,10,Fair,14600,132054,13269
